GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LiftNexus API,com.v1rex.liftnexus.loadunit.controller,LoadUnitController,25,53,0,0,6,12,2,4,2,4
LiftNexus API,com.v1rex.liftnexus.loadunit.controller,LoadUnitExceptionHandler,0,22,0,0,0,4,0,2,0,2
LiftNexus API,com.v1rex.liftnexus.forklift.dto,ForkliftTypeResponse,0,21,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.dto,ForkliftTypeRequest,0,18,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.dto,ForkliftRequest,0,18,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.dto,ForkliftLocationUpdateRequest,0,6,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.dto,ForkliftResponse,0,33,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.mapper,TransportOrderMapper,6,68,6,10,1,18,6,5,0,3
LiftNexus API,com.v1rex.liftnexus.forklift.domain,EquipmentType,0,27,0,0,0,5,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.domain,OperationalStatus,0,27,0,0,0,5,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.constraints,ForkliftCapacityConstraint,4,31,1,3,1,8,2,4,1,3
LiftNexus API,com.v1rex.liftnexus.planning.constraints,TransportOrderEquipmentRequirementConstraint,4,39,1,5,1,10,2,6,1,4
LiftNexus API,com.v1rex.liftnexus.planning.constraints,ForkliftTravelDistanceConstraint,3,66,1,5,1,16,2,5,1,3
LiftNexus API,com.v1rex.liftnexus.planning.constraints,WarehouseConstraintProvider,0,33,0,0,0,8,0,5,0,5
LiftNexus API,com.v1rex.liftnexus.planning.mapper,DispatchJobMapper,0,21,0,2,0,9,0,3,0,2
LiftNexus API,com.v1rex.liftnexus.loadunit.mapper,LoadUnitMapper,0,49,0,6,0,18,0,6,0,3
LiftNexus API,com.v1rex.liftnexus.loadunit.service,LoadUnitService,41,107,1,3,8,25,6,8,5,7
LiftNexus API,com.v1rex.liftnexus.storagebin.mapper,StorageBinMapper,0,80,2,6,0,24,2,5,0,3
LiftNexus API,com.v1rex.liftnexus.forklift.controller,ForkliftTypeController,0,35,0,0,0,8,0,3,0,3
LiftNexus API,com.v1rex.liftnexus.forklift.controller,ForkliftController,0,74,0,4,0,16,0,8,0,6
LiftNexus API,com.v1rex.liftnexus.forklift.controller,ForkliftExceptionHandler,18,4,0,0,3,1,1,1,1,1
LiftNexus API,com.v1rex.liftnexus.loadunit.dto,LoadUnitResponse,0,21,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.loadunit.dto,LoadUnitRequest,0,15,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.exception,TransportOrderDomainException,0,5,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.exception,TransportOrderInvalidStateException,0,5,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.exception,TransportOrderNotFoundException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.exception,TransportOrderErrorCode,0,21,0,0,0,3,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.exception,DispatchJobDomainException,0,5,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.exception,DispatchJobInvalidStateException,0,5,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.exception,DispatchJobErrorCode,0,21,0,0,0,3,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.planning.exception,DispatchJobNotFoundException,0,7,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.domain,ZoneType,0,33,0,0,0,6,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.domain,Coordinate3D,0,36,0,0,0,5,0,2,0,2
LiftNexus API,com.v1rex.liftnexus.planning.service,WarehouseDispatcherService,73,229,4,8,14,57,6,10,2,8
LiftNexus API,com.v1rex.liftnexus,LiftNexusApplication,5,3,0,0,2,1,1,1,1,1
LiftNexus API,com.v1rex.liftnexus.storagebin.controller,StorageBinExceptionHandler,0,22,0,0,0,4,0,2,0,2
LiftNexus API,com.v1rex.liftnexus.storagebin.controller,StorageBinController,0,35,0,0,0,8,0,3,0,3
LiftNexus API,com.v1rex.liftnexus.loadunit.exception,LoadUnitNotFoundException,6,6,0,0,2,2,1,1,1,1
LiftNexus API,com.v1rex.liftnexus.loadunit.exception,LoadUnitDomainException,0,5,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.loadunit.exception,LoadUnitErrorCode,0,21,0,0,0,3,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.loadunit.exception,LoadUnitTrackingCodeExistsException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.storagebin.service,StorageBinService,7,115,0,2,2,24,1,8,1,7
LiftNexus API,com.v1rex.liftnexus.forklift.mapper,ForkliftTypeMapper,0,45,0,4,0,17,0,5,0,3
LiftNexus API,com.v1rex.liftnexus.forklift.mapper,ForkliftMapper,1,97,1,19,0,22,1,12,0,3
LiftNexus API,com.v1rex.liftnexus.transportorder.dto,TransportOrderRequest,0,15,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.dto,TransportOrderStatusUpdateRequest,0,6,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.transportorder.dto,TransportOrderResponse,0,27,0,0,0,1,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.exception,ForkliftTypeNameExistsException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.exception,ForkliftNotFoundException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.exception,ForkliftFleetNumberExistsException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.exception,ForkliftTypeNotFoundException,0,6,0,0,0,2,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.exception,ForkliftErrorCode,0,39,0,0,0,5,0,1,0,1
LiftNexus API,com.v1rex.liftnexus.forklift.exception,ForkliftDomainException,0,5,0,0,0,2,0,1,0,1
